"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"58"," PARTIDO UNIÓN DE CENTRO CENTRO PROGRESISTA","15.06.94","08.06.94","","07.07.94","","","","18.08.94","","","19.06.98","","4 AÑOS, 0 MESES Y 4 DÍAS","4","0","4","48","15","6","1994","19","6","1998","1994/06/15","1998/06/19"
"59"," ALIANZA HUMANISTA VERDE","20.06.94","10.06.94","","09.07.94","","","","22.08.94","","","23.06.98","","4 AÑOS, 0 MESES Y 3 DÍAS","4","0","3","48","20","6","1994","23","6","1998","1994/06/20","1998/06/23"
"60"," PARTIDO UNIÓN DE CENTRO LIBERAL","22.06.94","31.05.94","","08.07.94","","","","27.03.95","","","19.06.98","","3 AÑOS, 11 MESES Y 26 DÍAS","3","11","26","47","22","6","1994","19","6","1998","1994/06/22","1998/06/19"
"61"," PARTIDO RADICAL SOCIALDEMÓCRATA Fusión de Partido","24.06.94","13.06.94","","06.07.94","","","","18.08.94","","","","29 AÑOS, 11 MESES Y 11 DÍAS","","29","11","11","359","24","6","1994","","","","1994/06/24",""
"62"," PARTIDO DEL SUR","09.08.94","26.08.94","","08.10.94","","","","21.08.95","","","23.06.98","","3 AÑOS, 10 MESES Y 14 DÍAS","3","10","14","46","9","8","1994","23","6","1998","1994/08/09","1998/06/23"
"63"," ALIANZA NACIONAL INDEPENDIENTE","01.09.95","05.09.95","","30.09.95","","02.05.96","","","","","02.05.96","","0 AÑOS, 8 MESES Y 1 DÍA","0","8","1","8","1","9","1995","2","5","1996","1995/09/01","1996/05/02"
"64"," NUEVA ALIANZA POPULAR","28.12.95","05.12.95","","30.01.96","","","","13.09.96","","","23.06.98","","2 AÑOS, 5 MESES Y 23 DÍAS","2","5","23","29","28","12","1995","23","6","1998","1995/12/28","1998/06/23"
"65"," PARTIDO DE IZQUIERDA CRISTIANA CHILENA","05.01.96","28.12.95","","02.02.96","","27.09.96","","","","","27.09.96","","0 AÑOS, 8 MESES Y 22 DÍAS","0","8","22","8","5","1","1996","27","9","1996","1996/01/05","1996/09/27"
"66"," ALIANZA NACIONAL","22.03.96","20.11.02","","","","","","","","","","","","","","","0","22","3","1996","22","3","1996","1996/03/22","1996/03/22"
"67"," PARTIDO IZQUIERDA VEINTIUNO","06.03.97","13.03.97","","08.09.97","","19.06.98","","07.11.97","","","19.06.98","","1 AÑO, 3 MESES Y 13 DÍAS","1","3","13","15","6","3","1997","19","6","1998","1997/03/06","1998/06/19"
